PROPAUDIT	CONSAUDIT	Proposed 2014	Considered 2015	1n submitted	2nd n submitted	unr?	2ndN	Adopt	EMERGEXP	ANALYST	Agency	Title	Part	Year	Page	Type	1stNPubl (E/P/R Adopted)	"Year1stNProp (P,E,R,X)"	1stNExp	2ndNFiled	2ndNExp	JCAR Overall Action	"Adopted (AdoptPubl if E, R or P)"	Adoption Page	Check	EXP	First Mtg Considered	Tab	JCAR Response: 1st meeting	2nd Mtg Considered	Tab: 2	JCAR Response: 2nd meeting	3rd Mtg Considered	Tab: 3	JCAR Response: 3rd Mtg	4th Mtg Considered	Tab: 4	JCAR Response: 4th Mtg	JCAR Action: Overall	Date of JCAR Action	Agency Monitoring	Active monitoring needed?	Rollcall Yes	Rollcall No	Rollcall Present	AR Deadline	"Agency Response (A,WD,D,NR)"	AR Date	AR Mtg	AR Tab	DTAR/NFA	FTR	NFA	SWM	WP/WS	Outcome	General	Emergency	Peremptory	Exempt	Required	Proposed	0	PA Addressed	PA Addressed 2	PA Addressed 3	PA Addressed 4	PA Addressed 5		APPROP	FTR	NFA	SWM	WS	CORRESP PROP	Year Considered	Year Action Taken	AR YEAR	AR MTG YEAR	#VALUE!	COVID-19	PROPOSEDAUDIT	CONSIDEREDAUDIT	AUDITSTART	AUDITFINISH	DCFS	HFS	DNR	CMS	IEMA	DOT	IHDA	JCE	Check2	Yearcheck	PageDB	PageTest	TypeDB	TypeShortDB	TypeTest	AgencyDB	AgencyTest	TitleDB	PartDB	TitleTest	PartTest	RegDateDB	RegDateTest	From1stNtoAdopt
NA	NA	na	G				#REF!	#REF!	#REF!		DOA	8	250	3	300001	G	1/3/03	2003	2/17/03		NA	NA	 		#VALUE!	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0	1/1/2021	12/31/2021									FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		CMS	80	2160	3	300006	G	1/3/03	2003	2/17/03		NA	NA	1/3/2003	400311	FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0						#REF!					FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ICC	83	551	3	300012	G	1/3/03	2003	2/17/03		NA	NA	1/3/2003	400834	FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		EPA	35	885	3	300037	G	1/3/03	2003	2/17/03		NA	NA			FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOR	86	100	3	300060	G	1/3/03	2003	2/17/03		NA	NA			FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOR	86	130	3	300073	G	1/3/03	2003	2/17/03		NA	NA			FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOR	86	700	3	300127	G	1/3/03	2003	2/17/03		NA	NA			FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DSP	20	1285	3	300144	G	1/3/03	2003	2/17/03		NA	NA			FALSE	1/2/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		CMS	80	3000	3	300386	G	1/10/03	2003	2/24/03		NA	NA			FALSE	1/9/04													NA							NA																														NA	NA	NA	NA	0		0	0						#REF!					FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DCFS	89	406	3	300388	G	1/10/03	2003	2/24/03		NA	NA			FALSE	1/9/04													NA							NA																														NA	NA	NA	NA	0		0	0			#REF!								FALSE	NA														
